,Unnamed: 0,Observation, Year, Month, Day, Date, Latitude, Longitude, Zonal Winds, Meridional Winds, Humidity, Air Temp, Sea Surface Temp,Outlier
58,45746,45747,98,3,10,980310,1.98,-125.06,-4.2,-2.7,86,27.62,28.88,0
59,80532,80533,98,4,28,980428,-2.01,-154.97,3.8,-4.3,72.7,28.37,29.12,0
60,155367,155368,93,9,28,930928,7.99,-170.01,0.5,1.8,78.1,27.75,29.07,0
61,51137,51138,97,11,5,971105,1.97,-140,5.9,1.8,79.1,28.79,29.48,0
62,90322,90323,95,12,26,951226,-2,-179.87,-6.7,-0.8,75.5,28.11,28.66,0
63,31863,31864,94,2,20,940220,0.02,-179.87,-4.4,-2.2,86.9,27.32,27.42,0
64,65102,65103,94,5,16,940516,2,-179.83,-4.1,0,87.2,28.05,28.86,0
65,108170,108171,97,2,1,970201,4.99,-154.91,-7.6,1.6,90.9,25.63,27.22,0
66,123656,123657,97,4,11,970411,-4.97,-110.01,-8.4,2.6,79.1,27.32,27.83,0
67,148288,148289,96,1,26,960126,8.03,-125.01,-6.1,-3.7,87.3,26.05,26.06,0
68,110170,110171,96,3,29,960329,5,156.05,-4.9,-1.9,82.1,28.35,29.18,0
69,154877,154878,98,3,23,980323,7.99,165.07,-7.8,-4.6,82.5,27.55,28.19,0
70,138675,138676,97,10,6,971006,-5.01,-169.98,0.5,-1.3,80.1,28.76,30.47,0
71,163095,163096,93,12,17,931217,-8.02,-124.98,-6.9,-2.5,76.5,26.07,26.74,0
72,77794,77795,96,8,13,960813,-2.02,-139.95,-3.4,2.5,78.4,25.12,25.19,0
73,35100,35101,96,5,27,960527,-0.02,-94.98,-4.4,2.2,82.1,24.1,25.59,0
74,24419,24420,92,4,27,920427,0.03,164.85,3.1,-2.1,86,26.92,29.45,0
75,12509,12510,90,8,18,900818,0.02,-139.93,-6.1,1.1,80.8,25.88,26.05,0
76,88775,88776,96,12,18,961218,-2.17,-170.02,-6.8,-2,81.1,27.42,27.38,0
77,60903,60904,93,5,3,930503,2.06,164.99,-2.9,-1.6,85.2,27.61,28.76,0
78,139341,139342,94,5,5,940505,-5.04,-179.76,-3.5,1.6,78.3,29.04,29.95,0
79,13098,13099,92,6,20,920620,0.03,-140,-5.4,-1.1,86.3,25.35,25.57,0
80,127940,127941,96,1,8,960108,-5.02,-139.91,-7.1,-1.4,85.3,25.89,25.95,0
81,92552,92553,96,7,19,960719,-1.99,-95.11,-4.1,0.9,94.9,21.2,20.94,0
82,107427,107428,95,1,20,950120,5,-154.95,-6.8,-5.3,84.1,27.31,28.43,0
83,89646,89647,94,2,18,940218,-1.97,-179.86,-6.7,-2.8,77.6,28.01,28.78,0
84,20384,20385,94,5,26,940526,0,155.99,0.1,-1.5,82,27.43,29.89,0
85,14923,14924,97,12,17,971217,0.02,-139.92,-2.2,-2.9,81.3,27.64,29.86,0
86,81043,81044,93,3,4,930304,-1.98,156.01,3.1,-0.2,82,28.06,29.2,0
87,78191,78192,97,9,14,970914,-2.01,-139.95,-4.7,4.4,72.2,28.18,28.56,0
88,81341,81342,94,1,12,940112,-1.98,156,4.8,-2.3,83.2,28.7,29.48,0
89,172152,172153,95,12,14,951214,-7.98,-179.84,3.8,1,75.9,28.77,29.7,0
90,8636,8637,93,12,6,931206,0.03,-124.35,-5.7,1.4,85.6,24.47,24.24,0
91,44677,44678,95,3,2,950302,1.96,-125.07,-6.8,4.2,81.1,26.86,27.51,0
92,42887,42888,96,2,10,960210,2.04,-110.12,-3.7,2.4,82.5,25.07,26.11,0
93,138580,138581,97,7,3,970703,-5.01,-169.98,-6.8,1.9,78.9,28.8,29.21,0
94,12765,12766,91,7,23,910723,0,-140.05,-6.1,-0.9,85.8,26.16,26.55,0
95,41491,41492,92,1,10,920110,2.03,-110.07,-2.5,4.8,83.2,26.44,26.25,0
96,20036,20037,93,6,12,930612,0.01,156.02,3.8,3.1,84.7,26.91,29.14,0
97,130382,130383,95,10,16,951016,-4.99,-154.97,-4.9,-3.7,82.9,25.56,26.94,0
98,43049,43050,96,7,21,960721,2.04,-110.13,-6.3,2.8,79.1,23.79,25.67,0
99,101007,101008,91,3,20,910320,5.03,-140.02,-6,-1.8,89.5,26.27,27.31,0
100,176783,176784,94,11,27,941127,8.99,-140.24,-6.5,-3.1,91.9,26.76,28.06,0
101,130684,130685,96,8,13,960813,-5.01,-155,-4.5,-1.1,76.8,27.23,27.85,0
102,148164,148165,95,9,24,950924,8.04,-125.01,-1.2,3.2,71.4,26.71,27.65,0
103,128811,128812,98,5,28,980528,-5.01,-139.92,-7.9,1.1,78.6,28.45,29.08,0
104,14887,14888,97,11,11,971111,0.02,-139.91,4.7,3.8,82.8,26.3,29.9,0
105,77313,77314,95,2,6,950206,-2,-139.96,-6.2,-0.1,76.7,26.49,27.13,0
106,129045,129046,92,2,17,920217,-4.99,-154.99,1.2,-2.4,76.6,28.61,29.38,0
107,166828,166829,98,1,23,980123,-8.28,-154.97,5.1,-1.2,83.9,28.64,30.04,0
108,4558,4559,94,10,10,941010,0.02,-110.03,-4.7,3.7,76.1,22.87,24.07,0
109,150416,150417,97,2,18,970218,7.95,-155,-8,-5.3,85.7,26.66,26.84,0
110,138688,138689,97,10,19,971019,-5.01,-169.98,-1.9,-2.1,76.5,29.3,30.32,0
111,175515,175516,91,6,8,910608,9,-140.26,0.2,-9.3,80.1,28,28.04,0
112,45946,45947,92,8,4,920804,2.03,137.02,-1.2,-2.1,87.1,27.39,28.76,0
113,127755,127756,95,7,7,950707,-5,-139.91,-8,-1,77.1,27.62,27.95,0
114,44819,44820,95,7,22,950722,1.96,-125.1,-4.8,3,75,26.56,27.45,0
115,21359,21360,97,9,1,970901,-0.01,156.16,5.7,3.6,79.9,27.08,28.72,0
116,66345,66346,98,1,23,980123,2.03,-179.8,-3.5,-5.7,73.8,28.28,28.56,0
117,92777,92778,97,3,1,970301,-2.01,-95.05,-0.1,3.5,86.7,26.28,26.92,0
118,124341,124342,92,7,10,920710,-5.04,-124.88,-7.5,-2.4,82.8,26.7,26.54,0
119,113845,113846,96,4,23,960423,5.02,164.99,-5.9,-3,79.8,27.84,28.93,0
120,80892,80893,92,10,4,921004,-1.99,155.9,-2.3,-0.1,79.3,27.86,29.51,0
121,160735,160736,93,4,1,930401,-8.02,-109.93,-5.6,6.8,84.4,27.22,27.62,0
122,77690,77691,96,2,18,960218,-1.99,-139.96,-5.6,-0.8,95.3,25.58,25.22,0
123,176566,176567,94,4,24,940424,8.99,-140.26,-5.9,-7.3,76.3,27.5,27.43,0
124,106511,106512,92,7,18,920718,5,-154.87,1.9,1.4,81.6,27.5,29.07,0
125,73616,73617,95,11,30,951130,-2.01,-124.96,-6.9,-0.9,90.3,23.87,23.76,0
126,67745,67746,98,1,31,980131,1.99,-95,-4.7,0.1,80.9,29.29,29.83,0
127,15002,15003,98,3,6,980306,0.02,-139.93,-1.3,-4.5,87.6,26.5,27.54,0
128,106700,106701,93,1,23,930123,4.99,-154.9,-6,2.2,81.3,27.46,27.84,0
129,140239,140240,97,5,2,970502,-5.03,-179.9,-2,-4.6,77.5,28.92,29.68,0
130,63492,63493,94,10,15,941015,2,-170.02,0.4,2.5,67.5,29.1,29.88,0
131,80324,80325,97,10,2,971002,-2,-154.98,-3,2.3,72.3,29.13,29.98,0
132,18434,18435,95,5,7,950507,0.02,-155,-7.1,-1.1,80.1,27.12,27.64,0
133,35185,35186,96,8,20,960820,0.04,-95.11,-3.4,5.4,89.6,19.53,20.63,0
134,113913,113914,96,6,30,960630,5.03,164.99,-5.6,-1.9,75.8,28.15,29.06,0
135,147154,147155,98,4,29,980429,8.04,-110.16,-1.8,1.8,87.6,27.88,29.01,0
136,106449,106450,92,5,17,920517,5.01,-154.89,0.1,-1.2,85.9,27.74,28.9,0
137,135190,135191,93,4,21,930421,-4.95,164.93,4.2,1,83.2,28.45,29.05,0
138,43769,43770,92,1,5,920105,1.92,-125.07,-3.9,2.3,73.8,26.46,27.62,0
139,173100,173101,94,9,19,940919,-7.98,-95.05,-6,2,74,21.13,21.59,0
140,87424,87425,93,4,7,930407,-2.18,-170.03,-3,-4.2,82,28.24,28.91,0
141,159245,159246,96,10,21,961021,8.2,-94.79,3.3,3.8,87.9,25.72,26.14,0
142,135579,135580,94,6,20,940620,-4.99,165.18,1.2,3.4,86.4,27.65,29.92,0
143,177908,177909,97,12,26,971226,8.96,-140.33,-4.5,-4.7,78.8,25.96,27.1,0
144,12405,12406,90,5,6,900506,0.01,-139.92,-2.2,0.3,81.9,27.28,27.6,0
145,148218,148219,95,11,17,951117,8.04,-124.99,-4.6,-1.8,86.2,26.52,27.6,0
146,5661,5662,97,12,21,971221,0.03,-109.98,-5.3,2.2,87.2,27.22,28.52,0
147,62002,62003,96,5,6,960506,2,164.99,-1.2,1.5,85.8,26.45,28.48,0
148,122476,122477,93,2,21,930221,-5,-110,-6.4,0.2,86.3,26.86,26.83,0
149,67843,67844,98,5,9,980509,1.98,-95,0.1,2.2,80.1,28.98,29.94,0
150,69867,69868,91,11,22,911122,-2.01,-110,-7.2,2.5,82,24.34,24.53,0
151,166213,166214,96,4,2,960402,-8.29,-154.94,-3.7,0,82.8,28.04,28.33,0
152,90485,90486,96,6,6,960606,-1.99,-179.87,-7.4,-0.3,75.5,28.63,28.58,0
153,91596,91597,93,12,6,931206,-1.99,-94.98,-4.8,4.3,87.9,22.86,22.83,0
154,124512,124513,92,12,28,921228,-5.03,-124.9,-8.2,-1,82.8,23.84,25.59,0
155,81097,81098,93,4,27,930427,-1.98,156.01,6.6,0.3,87.9,27.5,29.1,0
156,73018,73019,94,4,11,940411,-2.02,-124.89,-2,-2.2,90.5,26.44,27.23,0
157,15333,15334,93,10,19,931019,0,142.97,-0.7,2.2,82.6,27.64,28.57,0
158,167499,167500,93,6,11,930611,-7.98,164.98,-2.9,2.1,97.5,28.19,28.94,0
159,157868,157869,96,6,18,960618,8,-179.91,-7.6,-2,79.9,27.66,28.46,0
160,138054,138055,96,1,24,960124,-5,-170.03,-5.5,-4.5,76.2,27.64,28.51,0
161,148506,148507,96,8,31,960831,8.04,-125.01,-1.2,5.3,71.3,27.2,27.83,0
162,106916,106917,93,8,27,930827,5.01,-154.9,-5.3,3.8,72.3,27.73,28.96,0
163,149773,149774,94,12,8,941208,7.94,-155,-6.4,1.4,85.2,27.52,28.45,0
164,125101,125102,95,2,2,950202,-4.99,-124.89,-4.3,2.3,79.1,26.52,26.61,0
165,167224,167225,92,9,9,920909,-7.98,164.98,-1.5,0.7,82,27.57,28.87,0
166,85413,85414,93,12,10,931210,-1.96,164.38,-3.8,-1.3,81.1,29.04,30.12,0
167,50062,50063,94,8,3,940803,1.96,-140.02,-4.5,3.2,80.3,25.72,26.74,0
168,115380,115381,94,3,20,940320,4.98,-169.97,-5,1.5,78.6,27.88,28.44,0
169,55544,55545,94,1,2,940102,2.01,156.01,-6.5,1.2,83.2,29.29,29.32,0
170,176754,176755,94,10,29,941029,9.01,-140.24,1.6,3.2,88.1,26.72,28.63,0
171,124037,124038,98,4,27,980427,-4.98,-109.98,-0.6,4.2,80.5,28.06,28.51,0
172,28142,28143,92,4,3,920403,-0.04,-170.04,0.4,-2.6,84.8,26.92,28.92,0
173,67505,67506,97,3,4,970304,1.79,-94.7,4.1,0,89.2,27.4,28.26,0
174,66907,66908,94,9,19,940919,1.98,-94.99,-0.6,6.4,86.5,23.44,25.35,0
175,148577,148578,96,11,10,961110,8.03,-125.01,0.6,5.3,72.3,26.84,27.89,0
176,45899,45900,92,6,18,920618,2.03,137.03,-4.6,-0.8,88.3,27.31,29.73,0
177,29431,29432,95,10,14,951014,-0.04,-170.04,-5.7,1.5,75.4,26.33,26.88,0
178,15348,15349,93,11,3,931103,0,142.97,-0.4,0.2,75.5,28.94,30.2,0
179,125203,125204,95,5,15,950515,-4.97,-124.98,-6.7,-2.7,82.1,27.17,27.83,0
180,151252,151253,96,3,12,960312,8,156.01,-2.8,-0.2,84.2,26.68,28.59,0
181,105287,105288,95,10,12,951012,4.96,147.03,-2.4,-0.9,73.6,29.4,30.37,0
182,32876,32877,96,11,29,961129,0,-179.91,-5.4,2.3,75.5,28.23,28.66,0
183,66678,66679,93,6,14,930614,1.97,-95.02,-3.5,7,84.4,25.72,27.2,0
184,19336,19337,97,10,25,971025,0,-154.74,1.6,1.2,80.9,27.34,29.64,0
185,110584,110585,97,5,17,970517,5,156.07,-0.5,-1.7,83.8,28.13,29.65,0
186,108363,108364,97,8,13,970813,4.98,-154.92,-2.3,-3.7,80.3,28.18,29.55,0
187,73076,73077,94,6,8,940608,-2.01,-124.89,-7.7,0.9,85.4,27.14,27.05,0
188,113820,113821,96,3,29,960329,5.02,164.99,-3.9,-1.3,79,27.48,29.2,0
189,15374,15375,93,11,29,931129,0.01,142.98,-1.2,2.1,83.8,28.35,29.47,0
190,161329,161330,94,11,16,941116,-8.01,-109.95,-7.4,3.1,81.9,23.96,24.24,0
191,128267,128268,96,11,30,961130,-4.99,-139.91,-7.1,-0.8,73.2,26.32,26.98,0
192,127001,127002,93,6,13,930613,-4.97,-139.98,-5.2,-3.8,78.5,28.11,28.59,0
193,25049,25050,94,3,16,940316,0,165.03,-1,-0.3,71.7,28.13,29.13,0
194,60906,60907,93,5,6,930506,2.06,164.99,-3.6,-0.3,88.3,27.06,28.89,0
195,127716,127717,95,5,29,950529,-5,-139.9,-4.5,-2.1,83.4,27,28.17,0
196,112653,112654,93,1,17,930117,5.05,164.99,-8.3,-4,84,27.61,28.01,0
197,50589,50590,96,1,12,960112,2.29,-140.91,-4.9,1.4,91.9,24.42,24.65,0
198,150978,150979,95,3,7,950307,8.02,156.03,-6.7,-3.1,72.6,27.1,27.92,0
199,96986,96987,97,3,10,970310,5.02,-109.97,-5.7,-2.8,85.5,26.68,26.87,0
200,92395,92396,96,2,13,960213,-2,-95,-2.4,3.3,91.8,25.43,25.31,0
201,67648,67649,97,10,26,971026,1.98,-95,-1.4,6.7,81.8,27.02,27.93,0
202,76951,76952,94,2,9,940209,-2,-139.96,-6.7,-0.6,83.5,26.17,26.72,0
203,51510,51511,91,3,10,910310,1.98,147.01,-2.1,5.6,71.5,29.44,29.51,0
204,77215,77216,94,10,31,941031,-2,-139.96,-5.5,2.5,76.4,26.61,27.13,0
205,130863,130864,97,2,8,970208,-4.97,-154.99,-7.8,-1.4,77.4,27.52,27.75,0
206,102216,102217,94,11,18,941118,5.01,-139.98,-3.5,4.9,75.2,27.48,28.6,0
207,127714,127715,95,5,27,950527,-5,-139.91,-5.6,0.1,76.9,27.82,28.21,0
208,128939,128940,91,11,3,911103,-5,-154.99,-4.8,-0.1,71.9,28.17,28.88,0
209,71261,71262,95,9,16,950916,-2,-110,-5.9,1.8,89.6,21.57,21.57,0
210,159364,159365,97,2,17,970217,8.05,-94.94,-6.1,-4.2,80.5,26.92,26.6,0
211,21585,21586,98,4,15,980415,0.05,156.16,-3.8,-2.2,87.8,27.23,28,0
212,155154,155155,93,2,27,930227,8.01,-170.04,-5.6,-4.8,77.7,27.67,27.88,0
213,72298,72299,92,4,21,920421,-2.03,-124.92,-6,1.7,82.8,28.28,28.43,0
214,52184,52185,95,10,31,951031,2,147.01,-5.4,-1.1,75.9,29.5,30.09,0
215,160822,160823,93,6,27,930627,-8.02,-109.93,-5.9,0.1,81.3,25.87,26.57,0
216,136549,136550,97,5,8,970508,-5.01,165.2,-1,-1.9,67.2,28.82,29.73,0
217,9572,9573,96,6,29,960629,-0.2,-124.33,-4.7,-0.3,81,25.32,25.54,0
218,91030,91031,97,12,3,971203,-1.98,-179.85,8.6,0.6,87.9,27.45,29.43,0
219,79886,79887,96,7,21,960721,-1.97,-155,-7,-0.7,79.3,26.96,27.26,0
220,147554,147555,94,1,22,940122,7.98,-124.99,-6.8,-3.6,89.5,27.59,27.71,0
221,52185,52186,95,11,1,951101,2,147.02,-3.7,0.7,74.8,29.43,30.05,0
222,153513,153514,93,12,28,931228,8.04,165.07,0.3,-8.1,86.1,27.26,28.31,0
223,175628,175629,91,9,29,910929,8.99,-140.24,3.4,-0.8,91.8,26.37,27.96,0
224,5227,5228,96,10,13,961013,0.01,-109.97,-4.7,0.3,83.2,21.13,21.59,0
225,16617,16618,98,3,18,980318,-0.01,146.98,1.6,-5.8,82.4,28.21,28.78,0
226,140321,140322,97,7,23,970723,-5.03,-179.96,-2.9,-2.5,77.5,28.8,29.39,0
227,22436,22437,93,4,8,930408,-0.02,160.56,1.8,0.2,82.8,27.31,29.08,0
228,64356,64357,97,7,21,970721,1.99,-169.93,4.2,0,89.2,26.41,29.21,0
229,171437,171438,93,12,29,931229,-8.01,-179.93,-6.4,-1.6,76.3,29.93,30.11,0
230,85252,85253,93,7,2,930702,-1.96,164.39,-2.2,-1.7,77.8,28.62,29.5,0
231,29582,29583,96,3,13,960313,-0.03,-170.04,-6.2,-0.5,84.6,25.65,26.15,0
232,24791,24792,93,7,1,930701,0,165,-0.6,-1.5,80.8,28.03,29.38,0
233,126062,126063,90,11,17,901117,-5.01,-139.98,-7.7,-2.9,77.7,26.74,26.8,0
234,164042,164043,96,7,21,960721,-7.98,-125.01,-5.5,0.7,77.1,25.97,26.63,0
235,65340,65341,95,1,9,950109,2.01,-179.83,-5.4,0.6,84.3,29.45,29.27,0
236,88616,88617,96,7,12,960712,-2.16,-170.02,-7.3,-1.7,82.1,28.03,28.04,0
237,146028,146029,95,3,30,950330,8.05,-110.14,-3,0.2,84.1,27.48,28.62,0
238,64572,64573,98,2,22,980222,1.98,-170.03,-5.7,-6,92.1,27.78,28.51,0
239,156356,156357,96,6,13,960613,8.03,-170.02,-7.4,-2.4,85.3,26.65,27.65,0
240,156393,156394,96,7,20,960720,8.02,-170.02,-6.4,-2.6,83.4,27.16,28.47,0
241,149098,149099,98,4,15,980415,8.02,-125.01,-3.2,-8.9,90.1,26.3,27.7,0
242,123385,123386,95,8,19,950819,-4.97,-109.96,-5.5,3.1,87.9,23.21,22.88,0
243,157271,157272,94,10,30,941030,8,-179.87,2.9,0.6,75.6,28.9,29.92,0
244,26097,26098,97,10,4,971004,0.01,165,2.7,4.9,79.4,28.39,28.93,0
245,54095,54096,96,3,26,960326,2.05,-154.93,-5.5,-1.8,78.2,26.95,27.24,0
246,85703,85704,94,9,26,940926,-1.94,164.38,-0.5,4.2,77.8,28.81,29.34,0
247,88481,88482,96,2,28,960228,-2.17,-170.03,-5.1,-1.4,78.1,26.74,27.84,0
248,119295,119296,96,2,19,960219,5.39,-94.85,-1.2,-3.5,85,26.29,26.88,0
249,90398,90399,96,3,11,960311,-1.99,-179.87,-8,-2.1,78.5,27.86,28.68,0
250,64418,64419,97,9,21,970921,1.98,-169.95,0.2,5.2,80.7,29.02,29.23,0
251,85639,85640,94,7,24,940724,-1.94,164.39,1.8,2,82.9,27.8,29.89,0
252,54431,54432,97,2,25,970225,1.98,-154.98,-5.1,-2.1,81.4,26.04,26.31,0
253,100921,100922,90,12,24,901224,5.05,-140.05,-3.3,2.3,80.1,26.92,27.94,0
254,24236,24237,91,9,22,910922,0,165.01,4.9,0.3,79.1,27.21,29.28,0
255,156108,156109,95,10,9,951009,8.01,-170,-3.1,2,88.3,27.09,28.86,0
256,130786,130787,96,11,23,961123,-5,-155.01,-5.7,-1.1,74.8,27.35,27.96,0
257,155245,155246,93,5,29,930529,8.01,-170.03,-6.9,-2.5,79.3,28.14,28.39,0
258,41556,41557,92,3,15,920315,2.01,-110.08,-5,-1.9,82.4,28.34,27.99,0
259,171339,171340,98,4,25,980425,-7.97,-170.03,0.9,1.8,76.2,28.42,29.6,0
260,106101,106102,98,5,9,980509,4.97,146.99,-6.5,-4.2,80.1,28.64,29.22,0
261,78228,78229,97,10,21,971021,-2.01,-139.97,-4.7,1.6,80.2,28.07,29.31,0
262,115368,115369,94,3,8,940308,4.96,-169.96,-1.9,-5.4,76.2,27.96,28.37,0
263,166947,166948,98,5,29,980529,-8.28,-154.97,-6.2,-2.2,81.8,29.31,29.41,0
264,18184,18185,94,8,30,940830,0.01,-155.01,-9,-2.2,75.7,27.29,27.76,0
265,41449,41450,91,11,29,911129,2.03,-110.08,-1.5,5.5,85.5,25.14,25.18,0
266,113150,113151,94,5,29,940529,5.03,165.01,-2.8,-2.7,84.4,28.46,29.29,0
267,13171,13172,92,9,1,920901,0.04,-140.01,-4.9,0,91,24.69,25.3,0
268,85437,85438,94,1,3,940103,-1.97,164.38,-2.9,-0.9,80.4,29.2,29.94,0
269,72287,72288,92,4,10,920410,-2.03,-124.91,0.1,2.1,85.2,27.68,28.33,0
270,54470,54471,97,4,5,970405,1.97,-154.96,-4.3,-1.2,83.1,26.79,27.52,0
271,140292,140293,97,6,24,970624,-5.03,-179.96,-4.4,-2,79,28.64,29.46,0
272,88735,88736,96,11,8,961108,-2.16,-170.04,-5.4,-2,82.5,27.25,27.72,0
273,163386,163387,94,10,4,941004,-7.99,-124.99,-5,0.7,77.4,25.8,25.95,0
274,154819,154820,98,1,24,980124,7.99,165.07,-6.5,-3.1,77,26.46,27.29,0
275,18331,18332,95,1,24,950124,0.02,-155.04,-7.7,-0.6,81.6,27.43,27.69,0
276,66893,66894,94,9,5,940905,1.98,-94.99,-2.6,4.5,90.9,22.13,24.79,0
277,135789,135790,95,1,16,950116,-4.98,165.18,4.6,-3.2,84.2,29.07,29.5,0
278,65691,65692,95,12,26,951226,2,-179.85,-7.2,2.6,81.9,27.6,28.38,0
279,63668,63669,95,7,24,950724,1.98,-170.05,-6.1,1.9,76.8,28.14,28.75,0
280,106898,106899,93,8,9,930809,5.01,-154.9,-1.3,1.8,76.2,27.18,28.03,0
281,30260,30261,98,1,20,980120,-0.03,-170.04,-0.8,-6.6,81.9,28.85,29.09,0
282,124376,124377,92,8,14,920814,-5.04,-124.88,-6.8,2.1,80.1,26.18,26.35,0
283,65489,65490,95,6,7,950607,2,-179.84,-3.1,0.3,75.2,28.42,29.35,0
284,153254,153255,93,4,13,930413,8.04,165.07,-6.8,-5.1,83.9,26.94,28.17,0
