,Time,Rad Flow,Fpv Close,Fpv Open,High,Bypass,BpvClose,BpvOpen,Class,Outlier
419,50,-4,77,0,50,0,28,28,0,0
420,50,5,78,0,50,0,29,29,0,0
421,37,-3,82,0,38,3,45,43,0,0
422,44,0,76,0,44,6,31,32,0,0
423,38,0,76,0,38,2,38,37,0,0
424,52,-1,84,0,52,-2,31,32,0,0
425,47,0,81,0,46,0,34,35,0,0
426,47,-1,77,-5,46,-7,31,31,0,0
427,45,0,81,0,44,-12,36,37,2,0
428,37,0,81,1,-2,0,44,83,40,0
429,41,0,84,0,38,-10,43,45,2,0
430,49,4,106,0,50,10,56,57,0,0
431,45,-3,82,-3,44,-19,37,38,2,0
432,37,0,77,0,-12,4,40,90,50,0
433,37,0,75,0,30,3,38,44,6,0
434,43,-1,86,0,42,-3,43,45,2,0
435,46,4,86,0,46,6,41,40,0,0
436,37,0,107,0,28,-13,70,78,8,0
437,37,0,79,0,12,-8,43,66,24,0
438,55,0,81,0,54,-2,25,26,2,0
439,41,0,81,0,42,31,40,39,0,0
440,37,0,84,0,24,13,47,61,14,0
441,37,0,79,0,8,-11,43,72,28,0
442,44,0,80,-2,44,0,36,36,0,0
443,57,-5,88,0,56,0,31,31,0,0
444,37,-1,75,-6,28,-11,38,46,8,0
445,41,0,75,0,42,10,34,34,0,0
446,80,0,84,0,-28,-8,4,112,108,0
447,45,-2,77,0,44,0,33,34,0,0
448,44,0,77,0,44,20,33,33,0,0
449,49,1,86,0,50,16,37,37,0,0
450,45,0,79,0,44,-1,34,35,0,0
451,49,4,85,0,46,0,36,39,2,0
452,42,0,76,-2,42,0,34,35,0,0
453,38,1,90,-3,6,0,52,85,32,0
454,41,0,79,0,38,-20,38,40,2,0
455,43,0,83,0,42,-7,39,41,2,0
456,55,-4,83,0,54,-5,28,29,2,0
457,46,-1,75,-2,46,-4,29,28,0,0
458,44,0,84,0,44,5,40,41,0,0
459,41,0,83,3,38,-8,42,44,2,0
460,53,0,86,0,52,-12,33,35,2,0
461,56,0,80,0,54,-24,24,26,2,0
462,46,0,88,-5,46,0,43,42,0,0
463,37,0,77,0,10,7,40,66,26,0
464,41,0,86,0,38,0,45,47,2,0
465,50,0,90,7,50,0,40,41,0,0
466,37,0,76,0,34,13,39,42,2,0
467,51,3,86,0,50,-12,35,37,2,0
468,53,1,91,0,52,-13,38,39,2,0
469,46,2,93,0,46,2,48,47,0,0
470,55,0,90,0,54,-2,34,35,2,0
471,54,-4,81,-1,54,0,28,27,0,0
472,37,0,82,-1,36,-8,45,46,2,0
473,54,0,81,-1,54,0,27,27,0,0
474,59,-5,108,0,60,6,49,49,0,0
475,43,0,76,0,44,14,33,32,0,0
476,37,0,77,-2,34,-16,40,44,4,0
477,48,2,90,0,46,0,42,43,2,0
478,39,-3,81,-5,38,0,41,42,0,0
479,45,2,76,0,44,0,30,32,2,0
480,38,1,75,0,36,-6,37,39,2,0
481,43,0,77,0,44,16,34,34,0,0
482,51,0,86,0,52,30,36,35,0,0
483,37,0,77,-3,-12,-19,40,90,50,0
484,37,0,104,0,26,24,66,78,12,0
485,49,0,86,0,50,97,37,37,0,0
486,42,3,78,0,42,1,37,37,0,0
487,37,0,76,0,20,-20,39,55,16,0
488,37,0,82,0,34,9,45,48,2,0
489,37,0,77,0,28,11749,40,48,8,0
490,37,3,80,0,36,0,43,44,2,0
491,42,0,77,5,42,0,34,35,2,0
492,44,-1,106,-4,44,6,62,62,0,0
493,37,-4,76,0,36,-19,38,39,2,0
494,56,5,96,0,54,16,40,42,2,0
495,56,0,82,3,54,-21,26,28,2,0
496,55,0,86,7,54,0,31,32,0,0
497,37,0,81,-5,20,5,44,61,16,0
498,51,0,83,0,52,9,32,32,0,0
499,37,0,79,0,2,-26,42,76,34,0
500,51,0,79,0,52,18,28,27,0,0
501,40,1,76,3,38,0,36,37,2,0
502,41,0,83,-2,38,-1,42,44,2,0
503,81,5,84,0,-24,0,4,110,106,0
504,48,3,77,0,46,0,29,30,2,0
505,46,3,81,0,46,8,35,35,0,0
506,53,4,86,0,52,-5,33,35,2,0
507,38,0,75,0,38,5,37,36,0,0
508,37,0,104,0,16,-4,67,89,22,0
509,45,1,102,0,44,0,58,58,0,0
510,76,0,81,0,-42,-5,5,125,120,0
511,55,0,83,0,56,22,27,26,0,0
512,37,0,78,0,2,-13,41,75,34,0
513,37,0,95,0,8,-14,58,87,30,0
514,55,0,95,0,54,28,40,41,2,0
515,39,-2,78,0,38,0,39,39,0,0
516,45,0,109,0,44,0,65,66,0,0
517,55,0,96,0,54,3,41,42,2,0
518,47,0,76,-2,46,0,29,30,0,0
519,37,0,76,0,24,-30,39,52,14,0
520,37,0,104,-1,28,0,67,76,8,0
521,37,0,78,0,24,-19,41,55,14,0
522,37,0,76,0,20,-8,39,55,16,0
523,50,1,78,-3,50,0,28,29,0,0
524,37,0,83,0,0,-22,46,83,36,0
525,37,0,97,0,30,-3,60,66,6,0
526,53,2,86,0,54,29,33,32,0,0
527,38,1,80,0,38,9,42,41,0,0
528,49,0,90,0,50,20,42,41,0,0
529,51,0,87,0,52,14,36,35,0,0
530,37,0,78,0,16,10,41,63,22,0
531,37,0,77,0,6,15,40,72,32,0
532,44,-1,79,0,44,6,36,35,0,0
533,43,-2,87,-3,44,21,44,43,0,0
534,37,0,77,0,26,12,40,51,12,0
535,43,0,81,0,44,16,38,37,0,0
536,38,1,76,0,38,19,38,37,0,0
537,39,0,76,-7,38,0,37,37,0,0
538,56,-4,92,0,54,0,36,38,2,0
539,53,0,88,6,54,0,35,34,0,0
540,37,0,77,-6,30,15,40,46,6,0
541,37,0,81,3,38,18,44,43,0,0
542,44,1,76,0,44,4,31,32,0,0
543,42,-3,79,0,42,0,37,37,0,0
544,39,3,79,0,38,0,39,40,0,0
545,37,1,99,-5,28,0,62,71,8,0
546,53,0,83,0,54,6,30,28,0,0
547,37,-1,76,0,38,8,39,37,0,0
548,37,0,79,0,8,27,42,71,30,0
549,45,-1,79,0,44,-17,33,35,2,0
550,53,1,86,0,52,-21,33,35,2,0
551,37,0,104,-6,28,3,67,76,8,0
552,37,0,76,0,26,1,40,50,10,0
553,39,0,78,-5,38,0,39,39,0,0
554,37,0,106,0,24,17,69,82,14,0
555,43,0,64,-29,42,-4,21,23,2,0
556,41,0,86,1,42,8,45,45,0,0
557,41,0,83,0,38,-16,42,44,2,0
558,49,0,79,0,46,-10,30,32,2,0
559,37,0,77,0,8,13,40,69,30,0
560,37,0,76,0,34,26,39,42,2,0
561,37,0,78,0,8,-16,42,70,28,0
562,81,0,86,4,-24,-8,4,112,108,0
563,43,0,86,-1,42,-1,43,45,2,0
564,47,0,83,-1,46,-2,35,36,0,0
565,50,2,107,1,50,0,57,58,0,0
566,46,4,77,0,44,-21,32,34,2,0
567,41,0,88,-2,42,19,48,47,0,0
568,44,-4,76,0,44,1,32,32,0,0
569,54,4,104,0,54,0,50,49,0,0
570,37,0,78,0,0,-7,41,78,36,0
571,37,-4,80,0,20,2,43,59,16,0
572,43,0,78,0,44,18,35,34,0,0
573,41,0,87,1,38,-6,46,48,2,0
574,44,-2,100,0,44,14,56,56,0,0
575,46,0,88,-1,46,-1,41,41,0,0
576,37,0,80,0,-2,-7,43,83,40,0
577,37,0,83,0,-4,-3,46,88,42,0
578,59,0,108,0,56,-13,49,51,2,0
579,44,0,82,-5,44,0,38,38,0,0
580,51,0,77,0,50,-18,26,28,2,0
581,42,0,87,3,42,0,45,46,2,0
582,43,5,83,0,42,0,39,41,2,0
583,37,0,77,0,36,15,40,41,0,0
584,43,-3,77,0,42,-19,34,35,2,0
585,40,0,75,-6,38,0,35,36,2,0
586,41,4,79,0,38,-27,38,41,2,0
587,53,0,82,0,52,-22,29,30,2,0
588,37,0,82,2,-2,0,45,85,40,0
589,37,0,76,-1,20,-30,39,55,16,0
590,51,5,82,1,50,-17,31,33,2,0
591,42,0,86,1,42,0,43,44,2,0
592,45,0,85,0,44,179,41,41,0,0
593,37,0,77,-1,-12,20,40,90,50,0
594,38,-3,109,-2,38,0,72,71,0,0
595,45,-3,83,0,44,0,38,39,0,0
596,46,2,79,0,46,2,33,32,0,0
597,41,0,79,0,38,-6,39,41,2,0
598,47,4,78,-1,46,0,31,32,0,0
599,48,-3,87,0,46,0,39,41,2,0
600,37,0,97,0,34,6,60,64,4,0
601,37,0,77,0,36,-3,39,41,2,0
602,46,1,79,6,46,0,33,33,0,0
603,37,0,79,0,16,18,42,63,22,0
604,45,4,81,3,44,0,37,37,0,0
605,37,0,79,0,28,29,42,50,8,0
606,56,0,83,0,56,7,27,26,0,0
607,43,0,79,0,42,-1,36,38,2,0
608,57,-5,92,0,56,0,35,35,0,0
609,49,0,83,0,46,-15,34,37,2,0
